type,time,H2S,NH3,CO2,label,month,day
chicken,0,6.07,0.04,1988,0,9,1
chicken,1,4.75,0.05,1990,0,9,1
chicken,3.5,4.5,0.02,1988,1,9,1
chicken,6.5,4.89,0.02,1988,1,9,1
chicken,8.5,6.57,0.03,1986,2,9,1
chicken,19.5,17.69,0.03,1988,2,9,1
chicken,24,82.43,0.06,1988,2,9,1
chicken,0,21.27,0.05,8,0,9,28
chicken,1,43.77,0.07,10,0,9,28
chicken,2,11.51,0.01,0.01,0,9,28
chicken,3,10.69,0.01,10,1,9,28
chicken,12,3537.06,0.96,16,2,9,28
chicken,8,158.93,0.11,18,2,9,29
chicken,0,8.74,0.01,1988,0,9,30
chicken,1,11.79,0.02,1990,0,9,30
chicken,2,14.31,0.02,1992,0,9,30
chicken,3,18.11,0.02,1992,1,9,30
chicken,4,21.75,0.03,158,1,9,30
chicken,5,13.11,0.02,158,1,9,30
chicken,6,9.43,0.02,158,1,9,30
chicken,7,20.79,0.03,153,2,9,30
chicken,14,545.11,0.57,158,2,9,30
chicken,0,16.11,0.02,1986,0,10,1
chicken,1,7.49,0.01,158,0,10,1
chicken,2,10.43,0.01,158,0,10,1
chicken,3,13.97,0.02,158,1,10,1
chicken,4,20.79,0.02,158,1,10,1
chicken,5,21.27,0.03,172,1,10,1
chicken,6,36.42,0.03,,1,10,1
chicken,18,19369.39,4.21,158,2,10,1
chicken,0,60.97,0.06,218,0,10,2
chicken,2,38.54,0.05,158,0,10,2
chicken,3,41.08,0.05,158,1,10,2
chicken,4,37.73,0.05,158,1,10,2
chicken,5,30.39,0.04,158,1,10,2
chicken,6,23.81,0.04,158,1,10,2
chicken,7,33.16,0.05,158,2,10,2
chicken,8,32.44,0.04,158,2,10,2
chicken,9,22.25,0.03,158,2,10,2
chicken,10,25.47,0.04,158,2,10,2
chicken,12,60.97,0.07,158,2,10,2
chicken,18,1273.15,0.84,158,2,10,2
chicken,0,26.63,0.05,158,0,10,3
chicken,1,19.86,0.05,158,0,10,3
chicken,2,25.47,0.06,158,0,10,3
chicken,3,35.37,0.08,158,1,10,3
chicken,4,20.79,0.06,158,1,10,3
chicken,5,26.63,0.07,158,1,10,3
chicken,6,34.62,0.08,218,1,10,3
chicken,7,41.08,0.09,158,2,10,3
chicken,8,26.24,0.06,158,2,10,3
chicken,15,2787.59,2.24,158,2,10,3
chicken,19,7381.9,3.57,158,2,10,3
chicken,0,206.38,0.12,172,0,10,4
chicken,1,92.79,0.06,172,0,10,4
chicken,2,80.81,0.06,172,0,10,4
chicken,3,38.54,0.04,218,1,10,4
chicken,4,32.44,0.03,172,1,10,4
chicken,5,42.85,0.04,172,1,10,4
chicken,6,50.66,0.05,172,1,10,4
chicken,7,59.73,0.05,172,2,10,4
chicken,8,92.79,0.07,172,2,10,4
chicken,0,188.1,0.6,218,0,10,5
chicken,1,147.37,1.57,158,0,10,5
chicken,2,79.22,0.77,158,0,10,5
chicken,4,41.96,0.13,158,1,10,5
chicken,5,36.93,0.11,158,1,10,5
chicken,6,12.85,0.11,158,1,10,5
chicken,7,51.72,0.08,158,2,10,5
chicken,8,153.04,0.16,158,2,10,5
chicken,0,77.65,0.06,158,0,10,6
chicken,1,89.21,0.09,158,0,10,6
chicken,2,94.63,0.1,158,0,10,6
chicken,3,112.75,0.11,158,1,10,6
chicken,0,5.3,0.01,172,0,10,10
,,,,,0,,
,,,,,0,,
,,,,,0,,
,,,,,0,,
,,,,,0,,
,,,,,0,,
,,,,,0,,
,,,,,0,,
,,,,,0,,
,,,,,0,,
,,,,,0,,
,,,,,0,,
,,,,,0,,
,,,,,0,,
